Date,Open,High,Low,Close,Adj Close,Volume
2000-11-01,13.679688,15.054688,13.031250,14.664063,12.289200,244269600
2000-12-01,14.648438,15.859375,14.226563,15.343750,12.858813,167978800
2001-01-01,15.375000,15.546875,12.625000,14.102500,11.818583,185183600
2001-02-01,14.200000,16.090000,13.242500,14.807500,12.409410,170886400
2001-03-01,15.000000,15.500000,12.637500,14.815000,12.415695,180980800
2001-04-01,14.815000,16.850000,14.125000,16.370001,13.726202,184212000
2001-05-01,16.137501,16.575001,13.125000,14.375000,12.053396,287207600
2001-06-01,14.312500,15.872500,13.875000,15.437500,12.944303,153806400
2001-07-01,15.495000,17.000000,15.250000,16.855000,14.132870,135149600
2001-08-01,16.500000,17.500000,15.687500,17.014999,14.267034,125608800
2001-09-01,17.014999,17.250000,14.700000,16.625000,13.940019,156604800
2001-10-01,16.629999,17.434999,16.377501,16.437500,13.782801,173462400
2001-11-01,16.612499,18.049999,15.605000,17.862499,14.977660,151762000
2001-12-01,17.632500,18.200001,16.952499,17.692499,14.835112,133357200
2002-01-01,17.500000,18.700001,17.129999,18.587500,15.585563,137879600
2002-02-01,18.590000,18.937500,17.950001,18.122499,15.195669,114906800
2002-03-01,18.150000,19.200001,16.962500,19.105000,16.019497,148961200
2002-04-01,19.000000,22.420000,18.782499,21.952499,18.414536,199468000
2002-05-01,22.225000,22.934999,21.375000,22.700001,19.041576,164766000
2002-06-01,22.500000,24.472500,21.900000,22.887501,19.198858,212839600
2002-07-01,23.200001,24.075001,20.370001,21.915001,18.383091,304143600
2002-08-01,21.837500,23.187500,20.512501,22.087500,18.527784,164990800
2002-09-01,21.992500,23.352501,21.007500,21.805000,18.290808,156849600
2002-10-01,21.887501,25.250000,21.799999,22.737499,19.073029,254152000
2002-11-01,22.737499,24.025000,18.760000,20.362499,17.080793,337833600
2002-12-01,20.462500,21.180000,19.067499,20.875000,17.510689,196893200
2003-01-01,20.877501,21.977501,20.250000,21.975000,18.433413,190502400
2003-02-01,21.977501,22.187500,19.600000,20.725000,17.384876,184301200
2003-03-01,20.825001,23.172501,20.547501,22.917500,19.224024,166294800
2003-04-01,22.917500,23.777500,22.049999,23.032499,19.326941,225303200
2003-05-01,23.032499,24.555000,22.362499,23.985001,20.126204,169499200
2003-06-01,24.017500,26.334999,23.424999,25.125000,21.082792,147963600
2003-07-01,25.125000,28.125000,23.625000,26.045000,21.854784,151816600
2003-08-01,26.049999,26.700001,23.754999,24.715000,20.738756,119972400
2003-09-01,24.750000,25.490000,23.950001,25.160000,21.112167,103746800
2003-10-01,25.160000,27.820000,24.750000,25.440001,21.347118,150185600
2003-11-01,25.650000,27.450001,23.790001,26.950001,22.614183,128575800
2003-12-01,27.025000,29.334999,26.275000,29.090000,24.409893,96614000
2004-01-01,29.525000,30.500000,27.725000,30.440001,25.542694,118582000
2004-02-01,30.405001,31.150000,29.059999,31.000000,26.012609,114910800
2004-03-01,31.000000,32.250000,30.299999,32.220001,27.036322,113328600
2004-04-01,32.174999,34.250000,30.500000,30.740000,25.806675,157399800
2004-05-01,30.750000,32.660000,29.305000,32.625000,27.389164,141764400
2004-06-01,32.750000,33.000000,30.150000,31.125000,26.129879,116741200
